,country,fuel_type,year,1K_tonne_oil_equivalent
173,Serbia,Blended biodiesels,2008,0.000
174,Turkey,Blended biodiesels,2008,8.837
175,Bosnia and Herzegovina,Blended biodiesels,2008,:
176,Kosovo (under United Nations Security Council Resolution 1244/99),Blended biodiesels,2008,0.000
177,Moldova,Blended biodiesels,2008,:
178,Ukraine,Blended biodiesels,2008,0.000
179,Georgia,Blended biodiesels,2008,:
180,European Union - 27 countries (from 2020),Kerosene-type jet fuel,2008,"5,982.526"
181,European Union - 28 countries (2013-2020),Kerosene-type jet fuel,2008,"6,750.558"
182,Euro area - 19 countries  (from 2015),Kerosene-type jet fuel,2008,"5,574.861"
183,Belgium,Kerosene-type jet fuel,2008,3.492
184,Bulgaria,Kerosene-type jet fuel,2008,12.324
185,Czechia,Kerosene-type jet fuel,2008,44.471
186,Denmark,Kerosene-type jet fuel,2008,62.339
187,Germany (until 1990 former territory of the FRG),Kerosene-type jet fuel,2008,854.610
188,Estonia,Kerosene-type jet fuel,2008,1.802
189,Ireland,Kerosene-type jet fuel,2008,41.079
190,Greece,Kerosene-type jet fuel,2008,351.806
191,Spain,Kerosene-type jet fuel,2008,"2,434.200"
192,France,Kerosene-type jet fuel,2008,857.536
193,Croatia,Kerosene-type jet fuel,2008,12.600
194,Italy,Kerosene-type jet fuel,2008,772.332
195,Cyprus,Kerosene-type jet fuel,2008,0.000
196,Latvia,Kerosene-type jet fuel,2008,1.032
197,Lithuania,Kerosene-type jet fuel,2008,1.031
198,Luxembourg,Kerosene-type jet fuel,2008,0.000
199,Hungary,Kerosene-type jet fuel,2008,0.000
200,Malta,Kerosene-type jet fuel,2008,1.027
201,Netherlands,Kerosene-type jet fuel,2008,11.429
202,Austria,Kerosene-type jet fuel,2008,34.388
203,Poland,Kerosene-type jet fuel,2008,0.000
204,Portugal,Kerosene-type jet fuel,2008,121.190
205,Romania,Kerosene-type jet fuel,2008,75.862
206,Slovenia,Kerosene-type jet fuel,2008,0.000
207,Slovakia,Kerosene-type jet fuel,2008,0.000
208,Finland,Kerosene-type jet fuel,2008,87.907
209,Sweden,Kerosene-type jet fuel,2008,200.069
210,Iceland,Kerosene-type jet fuel,2008,8.426
211,Liechtenstein,Kerosene-type jet fuel,2008,:
212,Norway,Kerosene-type jet fuel,2008,342.799
213,Switzerland,Kerosene-type jet fuel,2008,:
214,United Kingdom,Kerosene-type jet fuel,2008,768.032
215,Montenegro,Kerosene-type jet fuel,2008,0.000
216,North Macedonia,Kerosene-type jet fuel,2008,0.000
217,Albania,Kerosene-type jet fuel,2008,0.000
218,Serbia,Kerosene-type jet fuel,2008,0.000
219,Turkey,Kerosene-type jet fuel,2008,805.782
220,Bosnia and Herzegovina,Kerosene-type jet fuel,2008,:
221,Kosovo (under United Nations Security Council Resolution 1244/99),Kerosene-type jet fuel,2008,0.000
222,Moldova,Kerosene-type jet fuel,2008,:
223,Ukraine,Kerosene-type jet fuel,2008,0.000
224,Georgia,Kerosene-type jet fuel,2008,:
225,European Union - 27 countries (from 2020),Liquefied petroleum gases,2008,"4,969.552"
226,European Union - 28 countries (2013-2020),Liquefied petroleum gases,2008,"5,106.611"
227,Euro area - 19 countries  (from 2015),Liquefied petroleum gases,2008,"2,410.806"
228,Belgium,Liquefied petroleum gases,2008,63.724
229,Bulgaria,Liquefied petroleum gases,2008,364.765
230,Czechia,Liquefied petroleum gases,2008,81.648
231,Denmark,Liquefied petroleum gases,2008,4.395
232,Germany (until 1990 former territory of the FRG),Liquefied petroleum gases,2008,439.820
233,Estonia,Liquefied petroleum gases,2008,2.378
234,Ireland,Liquefied petroleum gases,2008,0.900
235,Greece,Liquefied petroleum gases,2008,13.557
236,Spain,Liquefied petroleum gases,2008,14.687
237,France,Liquefied petroleum gases,2008,121.955
238,Croatia,Liquefied petroleum gases,2008,77.276
239,Italy,Liquefied petroleum gases,2008,"1,101.987"
240,Cyprus,Liquefied petroleum gases,2008,0.000
241,Latvia,Liquefied petroleum gases,2008,22.842
242,Lithuania,Liquefied petroleum gases,2008,205.114
243,Luxembourg,Liquefied petroleum gases,2008,2.197
244,Hungary,Liquefied petroleum gases,2008,30.310
245,Malta,Liquefied petroleum gases,2008,0.000
246,Netherlands,Liquefied petroleum gases,2008,368.105
247,Austria,Liquefied petroleum gases,2008,23.872
248,Poland,Liquefied petroleum gases,2008,"1,942.025"
249,Portugal,Liquefied petroleum gases,2008,26.369
250,Romania,Liquefied petroleum gases,2008,57.485
251,Slovenia,Liquefied petroleum gases,2008,2.200
252,Slovakia,Liquefied petroleum gases,2008,1.099
253,Finland,Liquefied petroleum gases,2008,0.000
254,Sweden,Liquefied petroleum gases,2008,0.842
255,Iceland,Liquefied petroleum gases,2008,0.000
256,Liechtenstein,Liquefied petroleum gases,2008,:
257,Norway,Liquefied petroleum gases,2008,2.202
258,Switzerland,Liquefied petroleum gases,2008,:
259,United Kingdom,Liquefied petroleum gases,2008,137.059
260,Montenegro,Liquefied petroleum gases,2008,0.000
261,North Macedonia,Liquefied petroleum gases,2008,50.372
262,Albania,Liquefied petroleum gases,2008,0.000
263,Serbia,Liquefied petroleum gases,2008,340.131
264,Turkey,Liquefied petroleum gases,2008,"2,386.013"
265,Bosnia and Herzegovina,Liquefied petroleum gases,2008,:
266,Kosovo (under United Nations Security Council Resolution 1244/99),Liquefied petroleum gases,2008,13.439
267,Moldova,Liquefied petroleum gases,2008,:
268,Ukraine,Liquefied petroleum gases,2008,665.807
269,Georgia,Liquefied petroleum gases,2008,:
270,European Union - 27 countries (from 2020),Electricity,2008,"4,844.247"
271,European Union - 28 countries (2013-2020),Electricity,2008,"5,183.284"
272,Euro area - 19 countries  (from 2015),Electricity,2008,"3,867.807"
273,Belgium,Electricity,2008,148.151
274,Bulgaria,Electricity,2008,36.543
275,Czechia,Electricity,2008,148.581
276,Denmark,Electricity,2008,32.502
277,Germany (until 1990 former territory of the FRG),Electricity,2008,954.686
278,Estonia,Electricity,2008,6.879
279,Ireland,Electricity,2008,4.651
280,Greece,Electricity,2008,20.550
281,Spain,Electricity,2008,268.272
282,France,Electricity,2008,895.959
283,Croatia,Electricity,2008,23.732
284,Italy,Electricity,2008,931.986
285,Cyprus,Electricity,2008,0.000
286,Latvia,Electricity,2008,11.866
287,Lithuania,Electricity,2008,7.137
288,Luxembourg,Electricity,2008,9.741
289,Hungary,Electricity,2008,102.666
290,Malta,Electricity,2008,0.000
291,Netherlands,Electricity,2008,139.639
292,Austria,Electricity,2008,297.869
293,Poland,Electricity,2008,304.729
294,Portugal,Electricity,2008,43.164
295,Romania,Electricity,2008,123.732
296,Slovenia,Electricity,2008,16.853
297,Slovakia,Electricity,2008,47.291
298,Finland,Electricity,2008,63.113
299,Sweden,Electricity,2008,203.955
300,Iceland,Electricity,2008,0.000
301,Liechtenstein,Electricity,2008,:
302,Norway,Electricity,2008,58.813
303,Switzerland,Electricity,2008,:
304,United Kingdom,Electricity,2008,339.037
305,Montenegro,Electricity,2008,1.892
306,North Macedonia,Electricity,2008,2.666
307,Albania,Electricity,2008,0.000
308,Serbia,Electricity,2008,22.700
309,Turkey,Electricity,2008,82.545
310,Bosnia and Herzegovina,Electricity,2008,:
311,Kosovo (under United Nations Security Council Resolution 1244/99),Electricity,2008,0.000
312,Moldova,Electricity,2008,:
313,Ukraine,Electricity,2008,918.143
314,Georgia,Electricity,2008,:
315,European Union - 27 countries (from 2020),Natural gas,2008,"2,841.458"
316,European Union - 28 countries (2013-2020),Natural gas,2008,"2,841.458"
317,Euro area - 19 countries  (from 2015),Natural gas,2008,"2,082.643"
318,Belgium,Natural gas,2008,0.000
319,Bulgaria,Natural gas,2008,293.188
320,Czechia,Natural gas,2008,68.680
321,Denmark,Natural gas,2008,0.000
322,Germany (until 1990 former territory of the FRG),Natural gas,2008,594.492
323,Estonia,Natural gas,2008,0.000
324,Ireland,Natural gas,2008,1.266
325,Greece,Natural gas,2008,21.002
326,Spain,Natural gas,2008,83.169
327,France,Natural gas,2008,29.471
328,Croatia,Natural gas,2008,0.000
329,Italy,Natural gas,2008,549.570
330,Cyprus,Natural gas,2008,0.000
331,Latvia,Natural gas,2008,0.795
332,Lithuania,Natural gas,2008,23.968
333,Luxembourg,Natural gas,2008,0.000
334,Hungary,Natural gas,2008,1.569
335,Malta,Natural gas,2008,0.000
336,Netherlands,Natural gas,2008,3.117
337,Austria,Natural gas,2008,203.652
338,Poland,Natural gas,2008,321.045
339,Portugal,Natural gas,2008,12.016
340,Romania,Natural gas,2008,50.279
341,Slovenia,Natural gas,2008,0.000
342,Slovakia,Natural gas,2008,546.389
343,Finland,Natural gas,2008,13.736
344,Sweden,Natural gas,2008,24.054
345,Iceland,Natural gas,2008,0.000
346,Liechtenstein,Natural gas,2008,:
347,Norway,Natural gas,2008,47.915
348,Switzerland,Natural gas,2008,:
349,United Kingdom,Natural gas,2008,0.000
350,Montenegro,Natural gas,2008,0.000
351,North Macedonia,Natural gas,2008,0.236
352,Albania,Natural gas,2008,0.000
353,Serbia,Natural gas,2008,4.471
354,Turkey,Natural gas,2008,183.104
355,Bosnia and Herzegovina,Natural gas,2008,:
356,Kosovo (under United Nations Security Council Resolution 1244/99),Natural gas,2008,0.000
357,Moldova,Natural gas,2008,:
358,Ukraine,Natural gas,2008,"4,971.195"
359,Georgia,Natural gas,2008,:
360,European Union - 27 countries (from 2020),Blended biogasoline,2008,"1,676.487"
361,European Union - 28 countries (2013-2020),Blended biogasoline,2008,"1,781.566"
362,Euro area - 19 countries  (from 2015),Blended biogasoline,2008,"1,270.450"
363,Belgium,Blended biogasoline,2008,0.000
364,Bulgaria,Blended biogasoline,2008,0.000
365,Czechia,Blended biogasoline,2008,34.824
366,Denmark,Blended biogasoline,2008,5.102
367,Germany (until 1990 former territory of the FRG),Blended biogasoline,2008,397.313
368,Estonia,Blended biogasoline,2008,1.280
369,Ireland,Blended biogasoline,2008,18.119
370,Greece,Blended biogasoline,2008,0.000
371,Spain,Blended biogasoline,2008,92.863
372,France,Blended biogasoline,2008,436.586
373,Croatia,Blended biogasoline,2008,0.000
374,Italy,Blended biogasoline,2008,70.507
375,Cyprus,Blended biogasoline,2008,0.000
376,Latvia,Blended biogasoline,2008,0.000
