,country,fuel_type,year,1K_tonne_oil_equivalent
311,Kosovo (under United Nations Security Council Resolution 1244/99),Solid fossil fuels,2008,21.430
312,Moldova,Solid fossil fuels,2008,:
313,Ukraine,Solid fossil fuels,2008,713.511
314,Georgia,Solid fossil fuels,2008,:
315,European Union - 27 countries (from 2020),Liquefied petroleum gases,2008,"7,107.177"
316,European Union - 28 countries (2013-2020),Liquefied petroleum gases,2008,"7,469.012"
317,Euro area - 19 countries  (from 2015),Liquefied petroleum gases,2008,"6,045.669"
318,Belgium,Liquefied petroleum gases,2008,118.659
319,Bulgaria,Liquefied petroleum gases,2008,21.974
320,Czechia,Liquefied petroleum gases,2008,17.795
321,Denmark,Liquefied petroleum gases,2008,18.678
322,Germany (until 1990 former territory of the FRG),Liquefied petroleum gases,2008,756.491
323,Estonia,Liquefied petroleum gases,2008,3.260
324,Ireland,Liquefied petroleum gases,2008,40.340
325,Greece,Liquefied petroleum gases,2008,49.709
326,Spain,Liquefied petroleum gases,2008,"1,524.021"
327,France,Liquefied petroleum gases,2008,"1,290.962"
328,Croatia,Liquefied petroleum gases,2008,82.876
329,Italy,Liquefied petroleum gases,2008,"1,457.963"
330,Cyprus,Liquefied petroleum gases,2008,38.411
331,Latvia,Liquefied petroleum gases,2008,23.929
332,Lithuania,Liquefied petroleum gases,2008,36.588
333,Luxembourg,Liquefied petroleum gases,2008,1.099
334,Hungary,Liquefied petroleum gases,2008,105.522
335,Malta,Liquefied petroleum gases,2008,14.283
336,Netherlands,Liquefied petroleum gases,2008,28.067
337,Austria,Liquefied petroleum gases,2008,49.840
338,Poland,Liquefied petroleum gases,2008,598.763
339,Portugal,Liquefied petroleum gases,2008,543.852
340,Romania,Liquefied petroleum gases,2008,211.546
341,Slovenia,Liquefied petroleum gases,2008,43.995
342,Slovakia,Liquefied petroleum gases,2008,17.579
343,Finland,Liquefied petroleum gases,2008,6.621
344,Sweden,Liquefied petroleum gases,2008,4.354
