,country,fuel_type,year,1K_tonne_oil_equivalent
427,Austria,Electricity,2008,1.217
428,Poland,Electricity,2008,1.892
429,Portugal,Electricity,2008,0.000
430,Romania,Electricity,2008,0.000
431,Slovenia,Electricity,2008,0.000
432,Slovakia,Electricity,2008,0.000
433,Finland,Electricity,2008,0.000
434,Sweden,Electricity,2008,0.000
435,Iceland,Electricity,2008,0.000
436,Liechtenstein,Electricity,2008,:
437,Norway,Electricity,2008,0.172
438,Switzerland,Electricity,2008,:
439,United Kingdom,Electricity,2008,1.548
440,Montenegro,Electricity,2008,0.000
441,North Macedonia,Electricity,2008,0.000
442,Albania,Electricity,2008,0.000
443,Serbia,Electricity,2008,0.000
444,Turkey,Electricity,2008,0.000
445,Bosnia and Herzegovina,Electricity,2008,:
446,Kosovo (under United Nations Security Council Resolution 1244/99),Electricity,2008,0.000
447,Moldova,Electricity,2008,:
448,Ukraine,Electricity,2008,0.000
449,Georgia,Electricity,2008,:
450,European Union - 27 countries (from 2020),Pure biogasoline,2008,16.250
451,European Union - 28 countries (2013-2020),Pure biogasoline,2008,16.250
452,Euro area - 19 countries  (from 2015),Pure biogasoline,2008,4.500
453,Belgium,Pure biogasoline,2008,0.000
454,Bulgaria,Pure biogasoline,2008,0.000
455,Czechia,Pure biogasoline,2008,0.000
456,Denmark,Pure biogasoline,2008,0.000
457,Germany (until 1990 former territory of the FRG),Pure biogasoline,2008,4.500
458,Estonia,Pure biogasoline,2008,0.000
459,Ireland,Pure biogasoline,2008,0.000
460,Greece,Pure biogasoline,2008,0.000
461,Spain,Pure biogasoline,2008,0.000
462,France,Pure biogasoline,2008,0.000
463,Croatia,Pure biogasoline,2008,0.000
464,Italy,Pure biogasoline,2008,0.000
465,Cyprus,Pure biogasoline,2008,0.000
466,Latvia,Pure biogasoline,2008,0.000
467,Lithuania,Pure biogasoline,2008,0.000
468,Luxembourg,Pure biogasoline,2008,0.000
469,Hungary,Pure biogasoline,2008,0.000
470,Malta,Pure biogasoline,2008,0.000
471,Netherlands,Pure biogasoline,2008,0.000
472,Austria,Pure biogasoline,2008,0.000
473,Poland,Pure biogasoline,2008,0.000
474,Portugal,Pure biogasoline,2008,0.000
475,Romania,Pure biogasoline,2008,0.000
476,Slovenia,Pure biogasoline,2008,0.000
477,Slovakia,Pure biogasoline,2008,0.000
478,Finland,Pure biogasoline,2008,0.000
479,Sweden,Pure biogasoline,2008,11.750
480,Iceland,Pure biogasoline,2008,0.000
481,Liechtenstein,Pure biogasoline,2008,:
482,Norway,Pure biogasoline,2008,0.000
483,Switzerland,Pure biogasoline,2008,:
484,United Kingdom,Pure biogasoline,2008,0.000
485,Montenegro,Pure biogasoline,2008,0.000
486,North Macedonia,Pure biogasoline,2008,0.000
487,Albania,Pure biogasoline,2008,0.000
488,Serbia,Pure biogasoline,2008,0.000
489,Turkey,Pure biogasoline,2008,0.000
490,Bosnia and Herzegovina,Pure biogasoline,2008,:
491,Kosovo (under United Nations Security Council Resolution 1244/99),Pure biogasoline,2008,0.000
492,Moldova,Pure biogasoline,2008,:
493,Ukraine,Pure biogasoline,2008,0.000
494,Georgia,Pure biogasoline,2008,:
495,European Union - 27 countries (from 2020),Other liquid biofuels,2008,288.689
496,European Union - 28 countries (2013-2020),Other liquid biofuels,2008,288.689
497,Euro area - 19 countries  (from 2015),Other liquid biofuels,2008,286.276
498,Belgium,Other liquid biofuels,2008,0.000
499,Bulgaria,Other liquid biofuels,2008,2.413
500,Czechia,Other liquid biofuels,2008,0.000
501,Denmark,Other liquid biofuels,2008,0.000
502,Germany (until 1990 former territory of the FRG),Other liquid biofuels,2008,281.247
503,Estonia,Other liquid biofuels,2008,0.000
504,Ireland,Other liquid biofuels,2008,0.000
505,Greece,Other liquid biofuels,2008,0.000
506,Spain,Other liquid biofuels,2008,0.000
507,France,Other liquid biofuels,2008,0.000
508,Croatia,Other liquid biofuels,2008,0.000
509,Italy,Other liquid biofuels,2008,0.000
510,Cyprus,Other liquid biofuels,2008,0.000
511,Latvia,Other liquid biofuels,2008,0.000
512,Lithuania,Other liquid biofuels,2008,0.000
513,Luxembourg,Other liquid biofuels,2008,0.534
514,Hungary,Other liquid biofuels,2008,0.000
515,Malta,Other liquid biofuels,2008,0.000
516,Netherlands,Other liquid biofuels,2008,0.000
517,Austria,Other liquid biofuels,2008,0.000
518,Poland,Other liquid biofuels,2008,0.000
519,Portugal,Other liquid biofuels,2008,4.495
520,Romania,Other liquid biofuels,2008,0.000
521,Slovenia,Other liquid biofuels,2008,0.000
522,Slovakia,Other liquid biofuels,2008,0.000
523,Finland,Other liquid biofuels,2008,0.000
524,Sweden,Other liquid biofuels,2008,0.000
525,Iceland,Other liquid biofuels,2008,0.000
526,Liechtenstein,Other liquid biofuels,2008,:
527,Norway,Other liquid biofuels,2008,3.149
528,Switzerland,Other liquid biofuels,2008,:
529,United Kingdom,Other liquid biofuels,2008,0.000
530,Montenegro,Other liquid biofuels,2008,0.000
531,North Macedonia,Other liquid biofuels,2008,0.000
532,Albania,Other liquid biofuels,2008,0.000
533,Serbia,Other liquid biofuels,2008,0.000
534,Turkey,Other liquid biofuels,2008,0.000
535,Bosnia and Herzegovina,Other liquid biofuels,2008,:
536,Kosovo (under United Nations Security Council Resolution 1244/99),Other liquid biofuels,2008,0.000
537,Moldova,Other liquid biofuels,2008,:
538,Ukraine,Other liquid biofuels,2008,0.000
539,Georgia,Other liquid biofuels,2008,:
540,European Union - 27 countries (from 2020),Total,2009,"261,214.115"
541,European Union - 28 countries (2013-2020),Total,2009,"299,660.591"
542,Euro area - 19 countries  (from 2015),Total,2009,"215,340.517"
543,Belgium,Total,2009,"8,612.498"
544,Bulgaria,Total,2009,"2,544.585"
545,Czechia,Total,2009,"5,884.230"
546,Denmark,Total,2009,"4,027.912"
547,Germany (until 1990 former territory of the FRG),Total,2009,"49,655.003"
548,Estonia,Total,2009,663.071
549,Ireland,Total,2009,"3,998.358"
550,Greece,Total,2009,"7,131.907"
551,Spain,Total,2009,"30,619.575"
552,France,Total,2009,"41,167.568"
553,Croatia,Total,2009,"1,957.905"
554,Italy,Total,2009,"36,285.208"
555,Cyprus,Total,2009,749.520
556,Latvia,Total,2009,956.331
557,Lithuania,Total,2009,"1,375.084"
558,Luxembourg,Total,2009,"2,046.738"
559,Hungary,Total,2009,"4,314.068"
560,Malta,Total,2009,159.191
561,Netherlands,Total,2009,"11,087.614"
562,Austria,Total,2009,"7,346.099"
563,Poland,Total,2009,"15,489.022"
564,Portugal,Total,2009,"6,133.776"
565,Romania,Total,2009,"4,825.302"
566,Slovenia,Total,2009,"1,695.958"
567,Slovakia,Total,2009,"1,854.739"
568,Finland,Total,2009,"3,802.279"
569,Sweden,Total,2009,"6,830.574"
570,Iceland,Total,2009,282.521
571,Liechtenstein,Total,2009,:
572,Norway,Total,2009,"3,419.045"
573,Switzerland,Total,2009,:
