,Country Name,Land Area(sq.km),Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,population density/sq.km
20,Iceland,100250.0,ISL,"Population, total",SP.POP.TOTL,175574.0,179029.0,182378.0,185653.0,188983.0,192286.0,195570.0,198751.0,201488.0,203369.0,204438.0,206098.0,209137.0,212317.0,215209.0,217979.0,220154.0,221799.0,223537.0,225735.0,228138.0,230755.0,233860.0,236977.0,239511.0,241405.0,243180.0,245859.0,249740.0,252852.0,254826.0,257797.0,261057.0,263725.0,266021.0,267468.0,268916.0,271128.0,274047.0,277381.0,281205.0,284968.0,287523.0,289521.0,292074.0,296734.0,303782.0,311566.0,317414.0,318499.0,318041.0,319014.0,320716.0,323764.0,327386.0,330815.0,335439.0,343400.0,352721.0,360563.0,366425.0,3.66
21,Italy,294140.0,ITA,"Population, total",SP.POP.TOTL,50199700.0,50536350.0,50879450.0,51252000.0,51675350.0,52112350.0,52519000.0,52900500.0,53235750.0,53537950.0,53821850.0,54073490.0,54381345.0,54751406.0,55110868.0,55441001.0,55718260.0,55955411.0,56155143.0,56317749.0,56433883.0,56501675.0,56543548.0,56564074.0,56576718.0,56593071.0,56596155.0,56601931.0,56629288.0,56671781.0,56719240.0,56758521.0,56797087.0,56831821.0,56843400.0,56844303.0,56860281.0,56890372.0,56906744.0,56916317.0,56942108.0,56974100.0,57059007.0,57313203.0,57685327.0,57969484.0,58143979.0,58438310.0,58826731.0,59095365.0,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,59729081.0,59554023.0,202.47
22,Lithuania,62641.0,LTU,"Population, total",SP.POP.TOTL,2778550.0,2823550.0,2863350.0,2898950.0,2935200.0,2971450.0,3008050.0,3044400.0,3078850.0,3107321.0,3139689.0,3179041.0,3213622.0,3244438.0,3273894.0,3301652.0,3328664.0,3355036.0,3379514.0,3397842.0,3413202.0,3432947.0,3457179.0,3485192.0,3514205.0,3544543.0,3578914.0,3616367.0,3655049.0,3684255.0,3697838.0,3704134.0,3700114.0,3682613.0,3657144.0,3629102.0,3601613.0,3575137.0,3549331.0,3524238.0,3499536.0,3470818.0,3443067.0,3415213.0,3377075.0,3322528.0,3269909.0,3231294.0,3198231.0,3162916.0,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,2794137.0,2794700.0,44.61
23,Luxembourg,2430.0,LUX,"Population, total",SP.POP.TOTL,313970.0,316845.0,320750.0,324100.0,327750.0,331500.0,333895.0,334995.0,335850.0,337500.0,339171.0,342421.0,346600.0,350450.0,355050.0,358950.0,360731.0,361358.0,362007.0,362856.0,364150.0,365225.0,365525.0,365622.0,365998.0,366706.0,368355.0,370750.0,373450.0,377100.0,381850.0,387000.0,392175.0,397475.0,402925.0,408625.0,414225.0,419450.0,424700.0,430475.0,436300.0,441525.0,446175.0,451630.0,458095.0,465158.0,472637.0,479993.0,488650.0,497783.0,506953.0,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,620001.0,632275.0,260.2
24,Latvia,62110.0,LVA,"Population, total",SP.POP.TOTL,2120979.0,2152681.0,2181586.0,2210919.0,2240623.0,2265919.0,2283217.0,2301220.0,2323619.0,2343173.0,2359164.0,2376389.0,2395674.0,2415819.0,2437186.0,2456130.0,2470989.0,2485073.0,2497921.0,2505953.0,2511701.0,2519421.0,2531080.0,2546011.0,2562047.0,2578873.0,2599892.0,2626583.0,2653434.0,2666955.0,2663151.0,2650581.0,2614338.0,2563290.0,2520742.0,2485056.0,2457222.0,2432851.0,2410019.0,2390482.0,2367550.0,2337170.0,2310173.0,2287955.0,2263122.0,2238799.0,2218357.0,2200325.0,2177322.0,2141669.0,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,1913822.0,1901548.0,30.62
25,Moldova,32890.0,MDA,"Population, total",SP.POP.TOTL,2043664.0,2092667.0,2140063.0,2185050.0,2228429.0,2269399.0,2307959.0,2344108.0,2377848.0,2411588.0,2445328.0,2479871.0,2515217.0,2549760.0,2582697.0,2611616.0,2638126.0,2660619.0,2682309.0,2703999.0,2728099.0,2754609.0,2782725.0,2811645.0,2840565.0,2867878.0,2893584.0,2918487.0,2940177.0,2957047.0,2969097.0,2975523.0,2977130.0,2973114.0,2964277.0,2952307.0,2946401.0,2935524.0,2934339.0,2929735.0,2923783.0,2917252.0,2910504.0,2902320.0,2895147.0,2888111.0,2880095.0,2873429.0,2867964.0,2864346.0,2861487.0,2859833.0,2859458.0,2858692.0,2856950.0,2834530.0,2802170.0,2755158.0,2708214.0,2663251.0,2617820.0,79.59
26,North Macedonia,25220.0,MKD,"Population, total",SP.POP.TOTL,1488670.0,1507647.0,1527109.0,1547449.0,1569139.0,1592437.0,1617797.0,1644949.0,1672399.0,1698150.0,1720805.0,1739529.0,1754951.0,1769002.0,1784400.0,1803008.0,1825559.0,1851070.0,1877690.0,1902718.0,1924203.0,1941527.0,1955247.0,1965892.0,1974413.0,1981536.0,1987538.0,1992278.0,1995508.0,1996863.0,1996218.0,1993304.0,1988659.0,1984024.0,1981713.0,1983259.0,1989441.0,1999588.0,2012052.0,2024393.0,2034823.0,2042844.0,2048930.0,2053426.0,2057044.0,2060280.0,2063132.0,2065408.0,2067309.0,2069030.0,2070737.0,2072484.0,2074275.0,2076065.0,2077780.0,2079335.0,2080746.0,2081996.0,2082957.0,2083458.0,2083380.0,82.61
27,Malta,320.0,MLT,"Population, total",SP.POP.TOTL,326550.0,325250.0,323900.0,322550.0,321250.0,318800.0,315200.0,311550.0,307900.0,304300.0,302650.0,302700.0,302450.0,302200.0,301996.0,304222.0,305774.0,306970.0,310182.0,313342.0,316645.0,318982.0,325898.0,330524.0,330593.0,336452.0,342121.0,344485.0,347325.0,350722.0,354170.0,363845.0,367618.0,371308.0,374797.0,377419.0,379905.0,382791.0,385287.0,387578.0,390087.0,393028.0,395969.0,398582.0,401268.0,403834.0,405308.0,406724.0,409379.0,412477.0,414508.0,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,504062.0,525285.0,1641.52
28,Montenegro,13450.0,MNE,"Population, total",SP.POP.TOTL,480579.0,491140.0,502558.0,513409.0,521753.0,526327.0,526419.0,522796.0,517481.0,513340.0,512407.0,515449.0,521785.0,530220.0,538902.0,546487.0,552562.0,557576.0,562065.0,566888.0,572608.0,579445.0,587001.0,594506.0,600884.0,605398.0,607711.0,608144.0,607413.0,606571.0,606372.0,607105.0,608516.0,610170.0,611389.0,611712.0,611003.0,609520.0,607662.0,606001.0,604950.0,607389.0,609828.0,612267.0,613353.0,614261.0,615025.0,615875.0,616969.0,618294.0,619428.0,620079.0,620601.0,621207.0,621810.0,622159.0,622303.0,622373.0,622227.0,622028.0,621718.0,46.22
29,Netherlands,33670.0,NLD,"Population, total",SP.POP.TOTL,11486631.0,11638712.0,11805689.0,11965966.0,12127120.0,12294732.0,12456251.0,12598201.0,12729721.0,12877984.0,13038526.0,13194497.0,13328593.0,13439322.0,13545056.0,13666335.0,13774037.0,13856185.0,13941700.0,14038270.0,14149800.0,14247208.0,14312690.0,14367070.0,14424211.0,14491632.0,14572278.0,14665037.0,14760094.0,14848907.0,14951510.0,15069798.0,15184166.0,15290368.0,15382838.0,15459006.0,15530498.0,15610650.0,15707209.0,15812088.0,15925513.0,16046180.0,16148929.0,16225302.0,16281779.0,16319868.0,16346101.0,16381696.0,16445593.0,16530388.0,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,17344874.0,17441139.0,518.0
